01:49;Show the list of pupils;
01:49;Search by pupil last name;
01:50;Print of the pupils parents;
01:50;Show the list of pupils;
01:50;Search by pupil last name;
01:50;Print of the pupils parents;
01:50;Print of the pupils parents;
01:50;Search by pupil last name;
01:51;Search by pupil last name;
01:51;Print of the pupils parents;
01:51;Search by pupil last name;
01:51;Search by pupil last name;
01:51;Print of the pupils parents;
01:51;Print of the pupils parents;
02:12;Show the list of pupils;
02:12;Search by pupil last name;
02:12;Show the list of pupils;
02:12;Search by pupil last name;
02:12;Print of the pupils parents;
02:12;Search by pupil last name;
02:12;Search by pupil last name;
02:12;Print of the pupils parents;
02:12;Print of the pupils parents;
